DeltaFuel,TimeStamp,valid_fuel,before_avg,after_avg
1876.1599999999999,2024-05-26T08:34:00.000000,2838.08,968.9279999999999,2842.976
2056.3199999999997,2024-05-27T04:51:30.000000,2956.16,905.7279999999998,2962.688
193.92000000000007,2024-05-27T13:16:00.000000,2680.64,2338.8160000000003,3032.032
2033.92,2024-05-28T09:29:00.000000,2778.88,752.9280000000001,2970.272
2226.24,2024-05-30T01:00:00.000000,3166.72,939.3279999999999,3184.32
1976.96,2024-05-31T03:22:00.000000,2744.64,781.568,2761.3119999999994
2345.92,2024-07-20T11:08:30.000000,3011.52,669.6000000000001,3030.9440000000004
2234.8799999999997,2024-07-21T12:51:30.000000,3075.2,846.0799999999999,3105.8239999999996
2124.16,2024-07-22T09:08:00.000000,3018.56,893.632,3071.968
2205.4399999999996,2024-07-23T15:40:30.000000,3064.64,857.408,3100.8959999999997
2071.68,2024-07-24T15:40:30.000000,2848.0,776.192,2860.6719999999996
2114.8799999999997,2024-07-25T15:23:30.000000,3082.24,965.152,3072.736
1965.4399999999998,2024-07-26T15:50:00.000000,2611.2,642.432,2620.5439999999994
2085.7599999999998,2024-07-27T16:57:30.000000,2985.6,899.296,2976.7679999999996
2132.16,2024-07-28T20:18:00.000000,3018.56,897.1519999999998,3037.344
1438.7199999999998,2024-07-30T01:57:30.000000,2818.24,1376.928,2810.048
1997.44,2024-07-30T13:51:00.000000,3050.56,1056.2879999999998,3044.8
1696.32,2024-07-31T00:49:30.000000,3131.52,1444.9920000000002,3153.3439999999996
1931.8399999999997,2024-07-31T20:44:30.000000,2818.24,877.6959999999999,2780.96
2145.9199999999996,2024-08-03T21:47:30.000000,2882.24,739.2319999999999,2885.728
2204.16,2024-08-05T20:07:00.000000,3025.6,830.144,3055.424
2141.44,2024-08-06T21:26:00.000000,3011.52,874.144,3039.7439999999997
2211.2,2024-08-08T20:19:00.000000,3032.64,829.024,3063.552
2207.3599999999997,2024-08-10T02:02:00.000000,3050.56,847.9680000000001,3079.424
1841.2800000000002,2024-08-11T04:01:00.000000,2724.8,884.4159999999999,2723.456
1971.8400000000001,2024-08-11T22:11:30.000000,2759.36,800.832,2769.184
2171.52,2024-08-12T17:03:00.000000,2956.16,796.032,2984.256
2164.8,2024-08-13T20:55:30.000000,3008.0,859.1360000000001,3039.1040000000003
1946.88,2024-08-14T21:06:00.000000,2833.28,888.7359999999999,2818.432
2156.16,2024-08-16T05:35:00.000000,3039.68,901.4399999999999,3070.2400000000002
1304.0,2024-08-17T05:12:30.000000,2838.08,767.4240000000001,2969.7920000000004
1956.8000000000002,2024-08-17T23:01:30.000000,2993.92,1047.2,2998.1119999999996
1234.2399999999998,2024-08-18T14:01:00.000000,3029.12,1779.0720000000006,3034.7519999999995
2018.88,2024-08-19T09:38:00.000000,2980.8,955.4559999999999,3004.064
1965.12,2024-08-20T02:48:00.000000,3082.24,1139.0399999999997,3111.1040000000003
2129.92,2024-08-21T01:16:30.000000,3089.28,960.32,3097.024
2018.56,2024-08-21T21:16:30.000000,3039.68,1036.5439999999999,3027.424
2148.16,2024-08-22T20:21:30.000000,3029.12,879.8400000000001,3031.968
2144.3199999999997,2024-08-23T22:58:30.000000,3057.6,916.5120000000001,3060.3839999999996
1837.12,2024-08-25T04:49:30.000000,3029.12,1196.704,3022.816
1488.96,2024-08-26T01:56:00.000000,3004.48,1530.976,3011.52
1983.04,2024-08-27T02:44:00.000000,3057.6,1069.632,3073.792
1101.1200000000001,2024-08-28T01:50:00.000000,2022.4,928.128,2019.5520000000001
2018.56,2024-08-28T10:43:00.000000,3071.68,1031.9360000000001,3076.2239999999997
2150.7200000000003,2024-08-29T21:57:30.000000,2993.92,843.6800000000001,2994.8160000000003
1818.88,2024-08-30T16:13:30.000000,3096.32,1281.0880000000002,3114.6240000000003
2040.32,2024-09-01T03:41:00.000000,3050.56,1016.4799999999999,3066.0480000000002
1673.6,2024-09-01T21:12:30.000000,3071.68,1400.48,3088.576
2094.72,2024-09-02T17:34:30.000000,2902.08,808.48,2908.3199999999997
2120.96,2024-09-03T10:49:00.000000,3004.48,904.384,3038.4
2346.88,2024-09-04T10:05:30.000000,2936.32,594.144,2991.5199999999995
2156.7999999999997,2024-09-05T15:22:30.000000,3043.2,891.7119999999999,3049.7599999999998
1824.3200000000002,2024-09-06T13:21:00.000000,2877.44,1068.0639999999999,2914.304
2099.2,2024-09-07T09:27:30.000000,3039.68,944.96,3072.0
2047.3600000000001,2024-09-08T08:36:00.000000,3047.04,1014.592,3068.5119999999997
2174.72,2024-09-09T08:15:00.000000,3015.04,845.568,3058.9120000000003
2082.56,2024-09-10T08:43:00.000000,2813.44,727.9680000000001,2816.928
1832.9599999999998,2024-09-11T03:37:00.000000,2670.72,844.8,2671.7120000000004
1828.48,2024-09-11T21:50:30.000000,2828.16,990.816,2851.8720000000003
2140.4799999999996,2024-09-12T21:00:00.000000,2862.72,726.848,2874.912
2100.16,2024-09-13T16:00:00.000000,3064.64,979.424,3105.12
2371.2,2024-09-14T15:13:00.000000,2946.24,578.208,2960.0319999999997
903.6800000000001,2024-09-15T02:00:30.000000,2887.36,1991.52,2887.2
1995.1999999999998,2024-09-15T17:03:30.000000,2862.72,862.5920000000002,2864.096
